NAME,STA_NAME,UV_CODES,METROCALI_CODES,COORD_X,COORD_Y,TRONCAL
Univalle,UNIVALLE,1,7.60E+27,1060113.077,864517.1774,YES
Buitrera,BUITRERA,2,7.60E+26,1059725.357,864722.0306,YES
Meléndez,MELENDEZ,3,7.60E+25,1059436.237,865215.6317,YES
Capri,CAPRI,4,7.60E+24,1059197.624,866416.5485,YES
Caldas,CALDAS,5,7.60E+23,1059085.197,867086.4827,YES
Refugio,REFUGIO,6,7.60E+22,1059028.003,867594.6356,YES
Pampalinda,PAMPALINDA,7,7.60E+21,1058989.455,868165.632,YES
Plaza de Toros,PLZ TOROS,8,7.60E+20,1058918.57,868807.4403,YES
Lido,LIDO,9,7.60E+18,1058819.713,869817.6456,YES
Tequendama,TEQUENDAMA,10,7.60E+17,1058966.862,870333.2187,YES
Estadio,ESTADIO,11,7.60E+16,1059396.845,871264.4969,YES
Manzana del Saber,MZ. SABER,12,7.60E+15,1059638.708,871606.0297,YES
Santa Librada,ST LIBRADA,13,7.60E+14,1060075.861,872144.0361,YES
San Bosco,SAN BOSCO,14,7.60E+13,1060575.416,872417.0576,YES
San Pascual,SAN PASCUA,15,7.60E+12,1061149.28,872459.7838,YES
Belalcazar,BELALCAZAR,16,7.60E+11,1061890.14,872625.2008,0
Floresta,FLORESTA,17,7.60E+10,1062570.247,872748.6421,0
Atanasio Girardot,ATANASIO,18,7.60E+09,1063269.924,872699.7571,0
Chapinero,CHAPINERO,19,7.60E+08,1063942.669,872641.894,0
Villacolombia,VILLACOL,20,7.60E+07,1064318.112,872593.9966,0
Trébol,TREBOL,21,7.60E+06,1064634.117,872558.4515,0
7 de Agosto,07-ago,22,7.60E+05,1065632.939,872752.8526,0
Sucre,SUCRE,23,7.60E+41,1061270.331,872555.7121,YES
Petecuy,PETECUY,24,7.60E+40,1061085.522,873165.2828,YES
San Pedro,SAN PEDRO,25,7.60E+39,1060842.673,873757.4121,YES
Torre de Cali,T. CALI,26,7.60E+38,1060832.638,874027.8111,YES
Fray Damián,FRAY DAMIAN,27,7.60E+44,1060986.788,872566.3869,YES
Centro,CENTRO,28,7.60E+43,1060846.482,873096.1763,YES
La Ermita,ERMITA,29,7.60E+42,1060678.973,873645.8745,YES
Río Cali,RIO CALI,30,7.60E+36,1061390.743,874430.2288,YES
San Nicolás,SAN NICOLA,31,7.60E+37,1061338.009,874220.4476,YES
Piloto,PILOTO,32,7.60E+35,1061688.758,874388.1764,YES
Fátima,FATIMA,33,7.60E+34,1062258.378,874698.8217,YES
Manzanares,MANZANARES,34,7.60E+33,1062710.682,875068.0456,YES
Popular,POPULAR,35,7.60E+32,1062990.183,875434.5157,YES
Salomia,SALOMIA,36,7.60E+31,1063445.837,875902.0872,YES
Flora Industrial,FLORA IND,37,7.60E+30,1063942.852,876400.6346,YES
Chiminangos,CHIMINANGOS,38,7.60E+29,1064384.484,876754.6306,YES
Universidades,UNIVERSIDA,39,7.60E+28,1060956.832,864095.5302,YES
Unidad Deportiva,UND DEPORT,40,7.60E+19,1058820.392,869398.473,YES
Santa Rosa,SANTA ROSA,41,7.60E+45,1060883.469,872973.747,0
Plaza de Caicedo,CAICEDO,42,7.60E+46,1060709.611,873545.2673,YES
Versalles,VERSALLES,43,7.60E+47,1061176.069,874496.555,YES
Las Américas,AMERICAS,44,7.60E+48,1061361.697,874750.4654,YES
Prados del Norte,PRADOS,45,7.60E+49,1062010.198,875965.8682,YES
Vipasa,VIPASA,46,7.60E+50,1062293.347,876416.1709,YES
Alamos,ALAMOS,47,7.60E+51,1062697.711,877057.6556,YES
Cien Palos,CIEN.PALOS,48,7.60E+52,1061658.719,872145.1761,0
Primitivo,PRIMITIVO,49,7.60E+53,1062217.459,871884.9434,0
Santa Monica,STA.MONICA,50,7.60E+54,1062645.569,871569.9984,0
Villanueva,V.NUEVA,51,7.60E+55,1063061.956,871299.4515,0
Conquistadores,CONQUISTADORES,52,7.60E+56,1063608.144,870742.0551,0
Troncal Unida,TR.UNIDA,53,7.60E+57,1064796.206,870489.0351,0
Amanecer,AMANECER,54,7.60E+58,1065214.243,870128.0503,0
Nuevo Latir,NUEVO LATIR,55,7.60E+59,1065617.919,869816.6531,0
Terminal Menga,TERMINAL MENGA,56,7.60E+60,1063217.747,877612.1407,YES
T.Cañaveralejo,CANAVERALEJO,57,7.60E+61,1058734.929,869405.5394,0
Terminal Andres Sanin,A.SANIN,58,7.60E+62,1066041.866,872465.2418,0
