Stop Name,Stop ID,# entering,# leaving,# passengers
Terminal Menga B3,TMENGA7,314,0,314
Alamos A1,ALAMOS1,274,0,588
Vipasa A1,VIPASA1,130,13,705
Prados del Norte A1,PRADNOR1,161,3,863
Las Americas A1,L.AMERI1,417,21,1259
Versalles A1,VERSALL1,247,26,1480
Torre de Cali A2,TORRE3,178,213,1445
Plaza de Caicedo A1,CAICED1,420,99,1766
San Bosco A2,SANBO3,92,302,1556
Estadio A2,ESTAD3,174,150,1580
Tequendama A1,TEQUE1,179,214,1545
Unidad Deportiva A2,UDP3,75,123,1497
Pampalinda A1,PAMPA1,70,237,1330
Caldas A1,CALDAS1,42,229,1143
Capri A2,CAPRI3,33,174,1002
Melendez A1,MELEN1,22,407,617
Buitrera A1,BUITRE1,63,138,542
Universidades A1,UNIV1,0,542,0
